;data;ora (UTC);valore;flag validazione;casta_mm;casta_flag
244;2018-11-11;05:00;9.4;0;0.0;Z
245;2018-11-11;06:00;9.4;0;0.0;Z
246;2018-11-11;07:00;9.5;0;0.2;Z
247;2018-11-11;08:00;9.8;0;0.2;Z
248;2018-11-11;09:00;10.0;0;0.2;Z
249;2018-11-11;10:00;9.9;0;0.0;Z
250;2018-11-11;11:00;10.2;0;0.0;Z
251;2018-11-11;12:00;10.3;0;0.0;Z
252;2018-11-11;13:00;10.5;0;0.0;Z
253;2018-11-11;14:00;10.4;0;0.0;Z
254;2018-11-11;15:00;10.0;0;0.0;Z
255;2018-11-11;16:00;9.9;0;0.0;Z
256;2018-11-11;17:00;9.8;0;0.0;Z
257;2018-11-11;18:00;9.8;0;0.0;Z
258;2018-11-11;19:00;10.0;0;0.0;Z
259;2018-11-11;20:00;10.1;0;0.0;Z
260;2018-11-11;21:00;10.1;0;0.0;Z
261;2018-11-11;22:00;10.1;0;0.0;Z
262;2018-11-11;23:00;10.0;0;0.0;Z
263;2018-11-12;00:00;10.0;0;0.0;Z
264;2018-11-12;01:00;9.9;0;0.0;Z
265;2018-11-12;02:00;10.0;0;0.0;Z
266;2018-11-12;03:00;10.0;0;0.0;Z
267;2018-11-12;04:00;10.0;0;0.0;Z
268;2018-11-12;05:00;10.1;0;0.0;Z
269;2018-11-12;06:00;10.1;0;0.0;Z
270;2018-11-12;07:00;10.3;0;0.0;Z
271;2018-11-12;08:00;10.5;0;0.0;Z
272;2018-11-12;09:00;10.8;0;0.0;Z
273;2018-11-12;10:00;10.8;0;0.0;Z
274;2018-11-12;11:00;10.9;0;0.2;Z
275;2018-11-12;12:00;11.5;0;0.0;Z
276;2018-11-12;13:00;11.6;0;0.0;Z
277;2018-11-12;14:00;11.7;0;0.0;Z
278;2018-11-12;15:00;11.5;0;0.0;Z
279;2018-11-12;16:00;10.7;0;0.0;Z
280;2018-11-12;17:00;10.7;0;0.0;Z
281;2018-11-12;18:00;10.8;0;0.0;Z
282;2018-11-12;19:00;10.6;0;0.0;Z
283;2018-11-12;20:00;10.6;0;0.0;Z
284;2018-11-12;21:00;10.9;0;0.0;Z
285;2018-11-12;22:00;11.1;0;0.0;Z
286;2018-11-12;23:00;11.0;0;0.0;Z
287;2018-11-13;00:00;11.0;0;0.0;Z
288;2018-11-13;01:00;10.3;0;0.0;Z
289;2018-11-13;02:00;10.5;0;0.0;Z
290;2018-11-13;03:00;10.4;0;0.0;Z
291;2018-11-13;04:00;10.4;0;0.0;Z
292;2018-11-13;05:00;10.4;0;0.0;Z
293;2018-11-13;06:00;10.2;0;0.0;Z
294;2018-11-13;07:00;10.0;0;0.0;Z
295;2018-11-13;08:00;10.2;0;0.0;Z
296;2018-11-13;09:00;10.9;0;0.0;Z
297;2018-11-13;10:00;12.1;0;0.0;Z
298;2018-11-13;11:00;13.7;0;0.0;Z
299;2018-11-13;12:00;14.9;0;0.0;Z
300;2018-11-13;13:00;14.9;0;0.0;Z
301;2018-11-13;14:00;14.4;0;0.0;Z
302;2018-11-13;15:00;13.5;0;0.0;Z
303;2018-11-13;16:00;12.1;0;0.0;Z
304;2018-11-13;17:00;11.2;0;0.0;Z
305;2018-11-13;18:00;11.4;0;0.0;Z
306;2018-11-13;19:00;11.2;0;0.0;Z
307;2018-11-13;20:00;11.2;0;0.0;Z
308;2018-11-13;21:00;11.4;0;0.0;Z
309;2018-11-13;22:00;11.3;0;0.0;Z
310;2018-11-13;23:00;11.1;0;0.0;Z
311;2018-11-14;00:00;11.1;0;0.0;Z
312;2018-11-14;01:00;10.9;0;0.0;Z
313;2018-11-14;02:00;11.0;0;0.0;Z
314;2018-11-14;03:00;10.2;0;0.0;Z
315;2018-11-14;04:00;9.9;0;0.0;Z
316;2018-11-14;05:00;10.1;0;0.0;Z
317;2018-11-14;06:00;9.4;0;0.0;Z
318;2018-11-14;07:00;9.1;0;0.0;Z
319;2018-11-14;08:00;9.9;0;0.0;Z
320;2018-11-14;09:00;10.5;0;0.0;Z
321;2018-11-14;10:00;11.8;0;0.0;Z
322;2018-11-14;11:00;12.7;0;0.0;Z
323;2018-11-14;12:00;12.6;0;0.0;Z
324;2018-11-14;13:00;13.8;0;0.0;Z
325;2018-11-14;14:00;14.6;0;0.0;Z
326;2018-11-14;15:00;14.2;0;0.0;Z
327;2018-11-14;16:00;11.3;0;0.0;Z
328;2018-11-14;17:00;10.3;0;0.0;Z
329;2018-11-14;18:00;11.1;0;0.0;Z
330;2018-11-14;19:00;10.0;0;0.0;Z
331;2018-11-14;20:00;10.2;0;0.0;Z
332;2018-11-14;21:00;10.2;0;0.0;Z
333;2018-11-14;22:00;9.7;0;0.0;Z
334;2018-11-14;23:00;8.7;0;0.0;Z
335;2018-11-15;00:00;8.7;0;0.0;Z
336;2018-11-15;01:00;8.1;0;0.2;Z
337;2018-11-15;02:00;7.6;0;0.0;Z
338;2018-11-15;03:00;7.6;0;0.0;Z
339;2018-11-15;04:00;7.8;0;0.2;Z
340;2018-11-15;05:00;7.8;0;0.0;Z
341;2018-11-15;06:00;7.8;0;0.0;Z
342;2018-11-15;07:00;7.7;0;0.0;Z
343;2018-11-15;08:00;7.9;0;0.0;Z
344;2018-11-15;09:00;8.8;0;0.0;Z
345;2018-11-15;10:00;9.0;0;0.0;Z
346;2018-11-15;11:00;9.5;0;0.0;Z
347;2018-11-15;12:00;9.1;0;0.0;Z
348;2018-11-15;13:00;9.5;0;0.0;Z
349;2018-11-15;14:00;9.7;0;0.0;Z
350;2018-11-15;15:00;9.5;0;0.0;Z
351;2018-11-15;16:00;9.2;0;0.0;Z
352;2018-11-15;17:00;9.1;0;0.0;Z
353;2018-11-15;18:00;9.4;0;0.0;Z
354;2018-11-15;19:00;9.4;0;0.0;Z
355;2018-11-15;20:00;9.3;0;0.0;Z
356;2018-11-15;21:00;10.1;0;0.0;Z
357;2018-11-15;22:00;10.0;0;0.0;Z
358;2018-11-15;23:00;10.0;0;0.0;Z
359;2018-11-16;00:00;9.7;0;0.0;Z
360;2018-11-16;01:00;9.8;0;0.0;Z
361;2018-11-16;02:00;9.6;0;0.0;Z
362;2018-11-16;03:00;9.5;0;0.0;Z
363;2018-11-16;04:00;9.1;0;0.0;Z
364;2018-11-16;05:00;8.7;0;0.0;Z
365;2018-11-16;06:00;8.8;0;0.0;Z
366;2018-11-16;07:00;8.7;0;0.0;Z
367;2018-11-16;08:00;8.8;0;0.0;Z
368;2018-11-16;09:00;8.6;0;0.0;Z
369;2018-11-16;10:00;8.4;0;0.0;Z
370;2018-11-16;11:00;6.8;0;0.4;Z
371;2018-11-16;12:00;6.3;0;0.0;Z
372;2018-11-16;13:00;6.3;0;0.0;Z
373;2018-11-16;14:00;6.4;0;0.0;Z
374;2018-11-16;15:00;6.1;0;0.0;Z
375;2018-11-16;16:00;6.4;0;0.0;Z
376;2018-11-16;17:00;6.6;0;0.0;Z
377;2018-11-16;18:00;6.5;0;0.0;Z
378;2018-11-16;19:00;6.5;0;0.0;Z
379;2018-11-16;20:00;6.2;0;0.0;Z
380;2018-11-16;21:00;5.8;0;0.0;Z
381;2018-11-16;22:00;5.6;0;0.0;Z
382;2018-11-16;23:00;5.9;0;0.0;Z
383;2018-11-17;00:00;6.3;0;0.0;Z
384;2018-11-17;01:00;6.4;0;0.0;Z
385;2018-11-17;02:00;6.7;0;0.0;Z
386;2018-11-17;03:00;6.6;0;0.0;Z
387;2018-11-17;04:00;6.3;0;0.0;Z
388;2018-11-17;05:00;6.0;0;0.0;Z
389;2018-11-17;06:00;5.3;0;0.0;Z
390;2018-11-17;07:00;4.8;0;0.0;Z
391;2018-11-17;08:00;4.5;0;0.0;Z
392;2018-11-17;09:00;5.6;0;0.0;Z
393;2018-11-17;10:00;5.5;0;0.0;Z
394;2018-11-17;11:00;6.5;0;0.0;Z
395;2018-11-17;12:00;7.5;0;0.0;Z
396;2018-11-17;13:00;7.1;0;0.0;Z
397;2018-11-17;14:00;6.1;0;0.0;Z
398;2018-11-17;15:00;6.9;0;0.0;Z
399;2018-11-17;16:00;5.1;0;0.0;Z
400;2018-11-17;17:00;5.5;0;0.0;Z
401;2018-11-17;18:00;5.6;0;0.0;Z
402;2018-11-17;19:00;5.7;0;0.0;Z
403;2018-11-17;20:00;6.1;0;0.0;Z
404;2018-11-17;21:00;6.4;0;0.0;Z
405;2018-11-17;22:00;5.6;0;0.0;Z
406;2018-11-17;23:00;4.8;0;0.0;Z
407;2018-11-18;00:00;5.4;0;0.0;Z
408;2018-11-18;01:00;4.7;0;0.0;Z
409;2018-11-18;02:00;2.9;0;0.0;Z
410;2018-11-18;03:00;3.0;0;0.0;Z
